objectid,identifier,negative number,title,date,searchable date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,ordering and permissions,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link,reference_url
"historicboise011","AR 025110","","Aerial view, 1970s","1978; 1979","","1970s","Aerial view of downtown Boise Idaho, and the campus. The seven-story Education Building (center) finished in 1978 is the building in focus;the Morrison Center has not yet been built.","","","","","Boise State University;Aerial photographs","","Education Building;","","","","Boise River (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","209.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/30","30","209.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/30","https://dcnb.github.io//bsu-demo/items/historicboise011.html"
"historicboise012","AR 022769","","Pavilion under construction","1981; 1982","","1980s","Inside the unfinished Pavilion with the Bronco Stadium in the background.","The Pavilion was built in the early 1980s and opened in 1982. In 2004 it was renamed Taco Bell Arena.","","","","Boise State University;Construction equipment;","","Pavilion;Taco Bell Arena;Bronco Stadium (1970- );","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","21.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/31","31","21.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/31","https://dcnb.github.io//bsu-demo/items/historicboise012.html"
"historicboise013","AR 025077","","Aerial view, 1960s","1967; 1968; 1969","","1960s","Aerial view of the east side of the campus during the late 1960s. In the foreground is the newly-built Student Union Building.","","","","","Boise State University;Aerial photographs;","","Chaffee Hall;Gymnasium;Human Performance Center;Kinesiology Building;Bronco Stadium (1950-1970);Webb Hangar;Student Union (1967- );","","","","Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","210.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/32","32","210.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/32","https://dcnb.github.io//bsu-demo/items/historicboise013.html"
"historicboise014","AR 013420","","Aerial view, 1970s","1977; 1978","","1970s","Aerial view of campus and greater south Boise area from Broadway Avenue to Capitol Boulevard. The Education Building appears to be under construction.","","","","","Boise State University;","","Bronco Stadium (1970- )","","","","Boise River (Idaho);Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 9/08","211.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/33","33","211.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/33","https://dcnb.github.io//bsu-demo/items/historicboise014.html"
"historicboise015","AR 025388","9111-006-C4","Dorm life","1991","","1990s","Two students sitting outside of ivy-covered Morrison Hall; a publicity photo used for University publications.","","","","","Boise State University;Dormitories;","","Morrison Hall;","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","1008.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/34","34","1008.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/34","https://dcnb.github.io//bsu-demo/items/historicboise015.html"
"historicboise016","AR 5003326","","Aerial view, 1980s","1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989","","1980s","Aerial view of the east side of the campus including the current Bronco Stadium and the Pavilion. In the background, downtown Boise and the foothills surrounding the north side of the city.","","","","","Boise State University;Aerial photographs;","","Bronco Stadium (1970- );Pavilion;Taco Bell Arena;","","","","Boise (Idaho);Boise Foothills (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","212.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/35","35","212.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/35","https://dcnb.github.io//bsu-demo/items/historicboise016.html"
"historicboise017","AR 025116","","Aerial view, 1980s","11/9/1988","","1980s","Aerial view of a Bronco football game. Boise State University, the Boise River, Julia Davis Park, and downtown Boise.","","","","","Boise State University;Aerial photographs;Parks;","","Bronco Stadium (1970- );","","","","Boise (Idaho);Boise River (Idaho);","Image:StillImage","color photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","213.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/36","36","213.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/36","https://dcnb.github.io//bsu-demo/items/historicboise017.html"
"historicboise018","AR 025047","","Aerial view, 1980s","1984; 1985; 1986; 1987; 1988; 1989","","1980s","Aerial view of campus from the west, with the Boise River and Julia Davis Park. Probably taken mid to late 1980s","","","","","Boise State University;Aerial photographs;Parks;","","","","","","Boise (Idaho);Boise River (Idaho);","Image:StillImage","color photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 9/08","214.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/37","37","214.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/37","https://dcnb.github.io//bsu-demo/items/historicboise018.html"
"historicboise019","AR 013697","7909-028","Disco Dance Class","1979","","1970s","Cheerleader and dance instructor Aleta Sales leading disco dance class.","","University Photographic Services","","","Boise State University;Physical education; Dance","","Student Union (1967- )","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","215.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/38","38","215.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/38","https://dcnb.github.io//bsu-demo/items/historicboise019.html"
"historicboise020","AR 011538","","Dance class","1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959","","1950s","Dance partners practice their steps in dance class.","","","","","Boise State University;Physical education;Dance","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","216.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/39","39","216.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/39","https://dcnb.github.io//bsu-demo/items/historicboise020.html"
"historicboise021","AR 022900","","Wildest Dreams","1974; 1975; 1976; 1977; 1978; 1979","","1970s","Vocational technology students parade a custom-made vehicle called &quot;Wildest Dreams&quot; down a Boise city street.","","","","","Boise State University;Vocational education;Parades;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","217.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/40","40","217.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/40","https://dcnb.github.io//bsu-demo/items/historicboise021.html"
"historicboise022","AR 024077","","Aerial view, 1980s","1987; 1988; 1989","","1980s","Aerial view of campus and Boise River from the north west.","","","","","Boise State University;Aerial photographs;","","John B. Barnes Towers;Business Building;","","","","Boise River (Idaho);","Image:StillImage","color photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 9/08","218.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/41","41","218.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/41","https://dcnb.github.io//bsu-demo/items/historicboise022.html"
"historicboise023","AR 015447","","Men&#39;s basketball","1977","","1970s","Basketball player Tony Hodges defends the basket and outreaches Idaho State player.","","","","","Boise State University;Basketball;","","","Hodges, Tony;","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","219.JPG","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/42","42","219.JPG","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/42","https://dcnb.github.io//bsu-demo/items/historicboise023.html"
"historicboise024","AR 025566","","Pavilion","1983","","1980s","Ground level view of entrance 3 of the Pavilion.","The Pavilion was built in the early 1980s and opened in 1982. In 2004 it was renamed Taco Bell Arena.","Markus, Russ P.","","","Boise State University;","","Pavilion;Taco Bell Arena","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 9/08","22.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/43","43","22.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/43","https://dcnb.github.io//bsu-demo/items/historicboise024.html"
"historicboise025","AR 006763","","Machine Shop","1940; 1941; 1942; 1943; 1944","","1940s","Young men and women working in a machine shop, some possibly working for the National Youth Association (NYA) during World War II.","","","","","Boise State University;Vocational education;","","Maintenance Shops;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","220.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/44","44","220.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/44","https://dcnb.github.io//bsu-demo/items/historicboise025.html"
"historicboise026","AR 025389","","Dorm life","1991","","1990s","Towers residents sitting outside in the grass; a publicity photo used for University publications.","","","","University undergraduate catalogs 1992 through 1994","Boise State University;Dormitories;","","John B. Barnes Towers;","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","1009.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/45","45","1009.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/45","https://dcnb.github.io//bsu-demo/items/historicboise026.html"
"historicboise027","AR 006764","","Students Building Radios","1941; 1942; 1943; 1944","","1940s","Young women, in National Youth Association (NYA) coveralls, building radios in a workshop; possibly for the war effort of World War II.","","","","","Boise State University; Radios; Vocational education","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","221.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/46","46","221.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/46","https://dcnb.github.io//bsu-demo/items/historicboise027.html"
"historicboise028","AR 010644","","Chemistry student","1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969","","1960s","A student pours the contents of a beaker into a multi-chambered apparatus.","","","","","Boise State University;Chemistry;Laboratories;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 9/08","222.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/47","47","222.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/47","https://dcnb.github.io//bsu-demo/items/historicboise028.html"
"historicboise029","AR 001240","","Physics lab","1956; 1957; 1958; 1959","","1950s","Four students gather around a cloud chamber, monitoring and observing an experiment inside a physics laboratory. In the background, a &quot;Particles of Nuclear Physics&quot; poster.","","Unknown","","","Boise State University;Laboratories;Physics;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08. This cloud chamber still in use by Physics dept. 2/09 per Beverly Moss, admin asst. Physics Dept.","223.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/48","48","223.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/48","https://dcnb.github.io//bsu-demo/items/historicboise029.html"
"historicboise030","AR 012298","","Machine Shop","1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969","","1960s","A vocational student using precise measuring equipment on a machined piece of metal.","","","","","Boise State University;Vocational education;","","Maintenance Shops;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","224.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/49","49","224.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/49","https://dcnb.github.io//bsu-demo/items/historicboise030.html"
"historicboise031","AR 012308","","Machine Shop","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","A vocational student using milling equipment.","","","","","Boise State University;Vocational education;","","Maintenance Shops;Technical Vocational Building (1964-;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","225.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/50","50","225.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/50","https://dcnb.github.io//bsu-demo/items/historicboise031.html"
"historicboise032","AR 012311","","Machine Shop","1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959","","1950s","A line of metal lathes inside the Boise Junior College machine shop.","","","","","Boise State University;Milling machines;Vocational education;","","Maintenance Shops;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","226.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/51","51","226.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/51","https://dcnb.github.io//bsu-demo/items/historicboise032.html"
"historicboise033","AR 012415","","Welding booths","1962","","1960s","Gyula Veres (left) and Daniel Pletcher (right) using two of the ten gas welding stations.","","","","","Boise State University;Welding;Vocational education;","","","Veres, Gyula;Pletcher, Daniel;","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","Gyula is correct;on her transcript av 2/09","227.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/52","52","227.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/52","https://dcnb.github.io//bsu-demo/items/historicboise033.html"
"historicboise034","AR 012418","8106-005-B5","Welding instruction","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Four masked welders creating a small welded joint as an instructor supervises.","","","","","Boise State University;Welding;Vocational education;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 9/08","228.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/53","53","228.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/53","https://dcnb.github.io//bsu-demo/items/historicboise034.html"
"historicboise035","AR 012426","","Vo-Tech Center","1972; 1973; 1974; 1975; 1976","","1970s","Inside the round Vocational Education Center.","The round building dedicated as the Vocational Education Center in 1970 was later called the Vocational Technical Center and the Applied Technology building.","","","","Boise State University; Vocational education;","","Vocational Education Center; Applied Technology; Vo-Tech Center (Round Building)","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","229.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/54","54","229.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/54","https://dcnb.github.io//bsu-demo/items/historicboise035.html"
"historicboise036","AR 001728","","Vocational Technical Center","1968; 1969; 1970; 1971; 1972","","1960s;1970s","View of the entrance to the Vocational Technical Center.","The round building dedicated as the Vocational Education Center in 1970 was later called the Vocational Technical Center and the Applied Technology building.","Unknown","","","Boise State University;","","Vocational Education Center;Applied Technology;Vo-Tech Center (Round Building)","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","23.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/55","55","23.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/55","https://dcnb.github.io//bsu-demo/items/historicboise036.html"
"historicboise037","AR 024408","","Gymnastics","1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999","","1990s","gymnast (unidentified) competing in the floor exercises.","","","","","Boise State University;Gymnastics;Women athletes;","","","","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","update 8/08 ep","101.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/56","56","101.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/56","https://dcnb.github.io//bsu-demo/items/historicboise037.html"
"historicboise038","AR 012329","","Machine Shop Vocational Technology","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Equipment, students and instructors inside the machine shop.","","","","","Boise State University;Vocational education;","","Vo-Tech Center (Round Building);Applied Technology","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","230.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/57","57","230.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/57","https://dcnb.github.io//bsu-demo/items/historicboise038.html"
"historicboise039","AR 012413","","Welding","1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969","","1960s","Two students welding together parts of a small trailer.","","","","","Boise State University;Welding;Vocational education;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","231.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/58","58","231.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/58","https://dcnb.github.io//bsu-demo/items/historicboise039.html"
"historicboise040","AR 012425","","Vocational education","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Two students using an automated gas torch to cut a piece of sheet metal inside the Vocational Education Center.","","","","","Boise State University;Vocational education;","","Vocational Education Center;Applied Technology;","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","232.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/59","59","232.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/59","https://dcnb.github.io//bsu-demo/items/historicboise040.html"
"historicboise041","AR 003249","","Cheerleading Squad","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Cheerleaders form a pyramid on Bronco Stadium field.","","University Photographic Services;","","","Boise State University;Cheerleading;Women athletes;Acrobatics","","Bronco Stadium (1970- );","","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","update 8/08 ep","233.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/60","60","233.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/60","https://dcnb.github.io//bsu-demo/items/historicboise041.html"
