objectid,identifier,negative number,title,datenote,date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,rightsstatement,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link
historicboise011,AR 025110,,"Aerial view, 1970s",1970s,1978; 1979,1970s,"Aerial view of downtown Boise Idaho, and the campus. The seven-story Education Building (center) finished in 1978 is the building in focus;the Morrison Center has not yet been built.",,,,,Boise State University;Aerial photographs,,Education Building;,,,,Boise River (Idaho);,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,209.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/30,30,126.jpg,/archives/image/126.jpg
historicboise012,AR 022769,,Pavilion under construction,ca. 1981,1981; 1982,1980s,Inside the unfinished Pavilion with the Bronco Stadium in the background.,The Pavilion was built in the early 1980s and opened in 1982. In 2004 it was renamed Taco Bell Arena.,,,,Boise State University;Construction equipment;,,Pavilion;Taco Bell Arena;Bronco Stadium (1970- );,,,,Boise (Idaho);,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,21.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/31,31,127.jpg,/archives/image/127.jpg
historicboise013,AR 025077,,"Aerial view, 1960s",ca. 1968,1967; 1968; 1969,1960s,Aerial view of the east side of the campus during the late 1960s. In the foreground is the newly-built Student Union Building.,,,,,Boise State University;Aerial photographs;,,Chaffee Hall;Gymnasium;Human Performance Center;Kinesiology Building;Bronco Stadium (1950-1970);Webb Hangar;Student Union (1967- );,,,,Boise (Idaho);,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,210.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/32,32,128.jpg,/archives/image/128.jpg
historicboise014,AR 013420,,"Aerial view, 1970s",ca. 1977,1977; 1978,1970s,Aerial view of campus and greater south Boise area from Broadway Avenue to Capitol Boulevard. The Education Building appears to be under construction.,,,,,Boise State University;,,Bronco Stadium (1970- ),,,,Boise River (Idaho);Boise (Idaho),Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 9/08,211.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/33,33,129.jpg,/archives/image/129.jpg
historicboise015,AR 025388,9111-006-C4,Dorm life,1991,1991,1990s,Two students sitting outside of ivy-covered Morrison Hall; a publicity photo used for University publications.,,,,,Boise State University;Dormitories;,,Morrison Hall;,,,,Boise (Idaho),Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,1008.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/34,34,13.jpg,/archives/image/13.jpg
historicboise016,AR 5003326,,"Aerial view, 1980s",1980s,1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989,1980s,"Aerial view of the east side of the campus including the current Bronco Stadium and the Pavilion. In the background, downtown Boise and the foothills surrounding the north side of the city.",,,,,Boise State University;Aerial photographs;,,Bronco Stadium (1970- );Pavilion;Taco Bell Arena;,,,,Boise (Idaho);Boise Foothills (Idaho);,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,212.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/35,35,130.jpg,/archives/image/130.jpg
historicboise017,AR 025116,,"Aerial view, 1980s",9-Nov-88,11/9/1988,1980s,"Aerial view of a Bronco football game. Boise State University, the Boise River, Julia Davis Park, and downtown Boise.",,,,,Boise State University;Aerial photographs;Parks;,,Bronco Stadium (1970- );,,,,Boise (Idaho);Boise River (Idaho);,Image:StillImage,color photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,213.jpg,3/31/2009,12/19/2012,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/36,36,131.jpg,/archives/image/131.jpg
historicboise018,AR 025047,,"Aerial view, 1980s",1980s,1984; 1985; 1986; 1987; 1988; 1989,1980s,"Aerial view of campus from the west, with the Boise River and Julia Davis Park. Probably taken mid to late 1980s",,,,,Boise State University;Aerial photographs;Parks;,,,,,,Boise (Idaho);Boise River (Idaho);,Image:StillImage,color photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 9/08,214.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/37,37,132.jpg,/archives/image/132.jpg
historicboise019,AR 013697,7909-028,Disco Dance Class,1979,1979,1970s,Cheerleader and dance instructor Aleta Sales leading disco dance class.,,University Photographic Services,,,Boise State University;Physical education; Dance,,Student Union (1967- ),,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,215.jpg,3/31/2009,4/22/2016,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/38,38,133.jpg,/archives/image/133.jpg
historicboise020,AR 011538,,Dance class,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,Dance partners practice their steps in dance class.,,,,,Boise State University;Physical education;Dance,,,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,216.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/39,39,134.jpg,/archives/image/134.jpg
historicboise021,AR 022900,,Wildest Dreams,1970s,1974; 1975; 1976; 1977; 1978; 1979,1970s,"Vocational technology students parade a custom-made vehicle called ""Wildest Dreams"" down a Boise city street.",,,,,Boise State University;Vocational education;Parades;,,,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,217.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/40,40,135.jpg,/archives/image/135.jpg
historicboise022,AR 024077,,"Aerial view, 1980s",ca. 1988,1987; 1988; 1989,1980s,Aerial view of campus and Boise River from the north west.,,,,,Boise State University;Aerial photographs;,,John B. Barnes Towers;Business Building;,,,,Boise River (Idaho);,Image:StillImage,color photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 9/08,218.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/41,41,136.jpg,/archives/image/136.jpg
historicboise023,AR 015447,,Men's basketball,1977,1977,1970s,Basketball player Tony Hodges defends the basket and outreaches Idaho State player.,,,,,Boise State University;Basketball;,,,"Hodges, Tony;",,Athletics;,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,219.JPG,3/31/2009,11/5/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/42,42,137.JPG,/archives/image/137.JPG
historicboise024,AR 025566,,Pavilion,1983,1983,1980s,Ground level view of entrance 3 of the Pavilion.,The Pavilion was built in the early 1980s and opened in 1982. In 2004 it was renamed Taco Bell Arena.,"Markus, Russ P.",,,Boise State University;,,Pavilion;Taco Bell Arena,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 9/08,22.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/43,43,138.jpg,/archives/image/138.jpg
historicboise025,AR 006763,,Machine Shop,1940s,1940; 1941; 1942; 1943; 1944,1940s,"Young men and women working in a machine shop, some possibly working for the National Youth Association (NYA) during World War II.",,,,,Boise State University;Vocational education;,,Maintenance Shops;,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,220.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/44,44,139.jpg,/archives/image/139.jpg
historicboise026,AR 025389,,Dorm life,1991,1991,1990s,Towers residents sitting outside in the grass; a publicity photo used for University publications.,,,,University undergraduate catalogs 1992 through 1994,Boise State University;Dormitories;,,John B. Barnes Towers;,,,,Boise (Idaho),Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,1009.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/45,45,14.jpg,/archives/image/14.jpg
historicboise027,AR 006764,,Students Building Radios,1941-1945,1941; 1942; 1943; 1944,1940s,"Young women, in National Youth Association (NYA) coveralls, building radios in a workshop; possibly for the war effort of World War II.",,,,,Boise State University; Radios; Vocational education,,,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,,221.jpg,3/31/2009,6/21/2010,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/46,46,140.jpg,/archives/image/140.jpg
historicboise028,AR 010644,,Chemistry student,1960s,1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969,1960s,A student pours the contents of a beaker into a multi-chambered apparatus.,,,,,Boise State University;Chemistry;Laboratories;,,,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 9/08,222.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/47,47,141.jpg,/archives/image/141.jpg
historicboise029,AR 001240,,Physics lab,ca. 1950s,1956; 1957; 1958; 1959,1950s,"Four students gather around a cloud chamber, monitoring and observing an experiment inside a physics laboratory. In the background, a ""Particles of Nuclear Physics"" poster.",,Unknown,,,Boise State University;Laboratories;Physics;,,,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,"ep 8/08. This cloud chamber still in use by Physics dept. 2/09 per Beverly Moss, admin asst. Physics Dept.",223.jpg,3/31/2009,7/2/2015,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/48,48,142.jpg,/archives/image/142.jpg
historicboise030,AR 012298,,Machine Shop,1960s,1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969,1960s,A vocational student using precise measuring equipment on a machined piece of metal.,,,,,Boise State University;Vocational education;,,Maintenance Shops;,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,224.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/49,49,143.jpg,/archives/image/143.jpg
historicboise031,AR 012308,,Machine Shop,1970s,1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979,1970s,A vocational student using milling equipment.,,,,,Boise State University;Vocational education;,,Maintenance Shops;Technical Vocational Building (1964-;,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,225.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/50,50,144.jpg,/archives/image/144.jpg
historicboise032,AR 012311,,Machine Shop,1950s,1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959,1950s,A line of metal lathes inside the Boise Junior College machine shop.,,,,,Boise State University;Milling machines;Vocational education;,,Maintenance Shops;,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 8/08,226.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/51,51,145.jpg,/archives/image/145.jpg
historicboise033,AR 012415,,Welding booths,1962,1962,1960s,Gyula Veres (left) and Daniel Pletcher (right) using two of the ten gas welding stations.,,,,,Boise State University;Welding;Vocational education;,,,"Veres, Gyula;Pletcher, Daniel;",,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,Gyula is correct;on her transcript av 2/09,227.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/52,52,146.jpg,/archives/image/146.jpg
historicboise034,AR 012418,8106-005-B5,Welding instruction,1970s,1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979,1970s,Four masked welders creating a small welded joint as an instructor supervises.,,,,,Boise State University;Welding;Vocational education;,,,,,,,Image:StillImage,b/w photo,,image/jpeg,"Boise State University Library, Special Collections and Archives",,University Archives,"The contents of this item, including all images and text, are for personal, educational, and non-commercial use only. The contents of this item may not be reproduced in any form without the express permission of Boise State University Special Collections and Archives. For permissions or to place an order, please contact the Head of Special Collections and Archives at (208) 426-3958 or archives@boisestate.edu.",,ep 9/08,228.jpg,3/31/2009,3/31/2009,http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/53,53,147.jpg,/archives/image/147.jpg
